name, valency, conductance(E-4)
,,
,,
TABLE 8.32 of Langes Handbook of Chemistry,,
http://fptl.ru/biblioteka/spravo4niki/dean.pdf,,
Ag,1,61.9
Al,3,61
Ba,2,63.9
Be,2,45
Ca,2,59.5
Cd,2,54
Ce,3,70
Co,2,53
Co(NH3)6,3,100
Co(ethylenediamine)3,3,74.7
Cr,3,67
Cs,1,77.3
Cu,2,56.6
D,1,213.7
Dy,3,65.7
Er,3,66
Eu,3,67.9
FeII,2,53.5
FeIII,3,69
Gd,3,67.4
H,1,350.1
Hg2,2,68.7
Hg,2,63.6
Ho,3,66.3
K,1,73.5
La,3,69.6
Li,1,38.69
Mg,2,53.06
Mn,2,53.5
NH,4,73.7
N2H5,1,59
Na,1,50.11
Nd,3,69.6
Ni,2,50
Pb,2,71
Pr,3,69.6
Ra,2,66.8
Rb,1,77.8
Sc,3,64.7
Sm,3,68.5
Sr,2,59.46
Tl,1,74.9
Tm,3,65.5
UO2,2,32
Y,3,62
Yb,3,65.2
Zn,2,52.8
Au(CN)2,-1,50
Au(CN)4,-1,36
B(C6H5)4,-1,21
Br,-1,78.1
Br3,-1,43
BrO3,-1,55.7
Cl,-1,76.31
ClO2,-1,52
ClO3,-1,64.6
ClO4,-1,67.3
CN,-1,78
CO3,-2,69.3
Co(CN)6,-3,98.9
CrO4,-2,85
F,-1,55.4
[Fe(CN)6]IIII,-4,110.4
[Fe(CN)6]III,-3,100.9
H2AsO4,-1,34
HCO3,-1,44.5
HF2,-1,75
HPO4,-2,33
H2PO4,-1,33
HS,-1,65
HSO3,-1,50
HSO4,-1,50
H2SbO4,-1,31
I,-1,76.9
IO3,-1,40.5
IO4,-1,54.5
MnO4,-1,61.3
MoO4,-2,74.5
N3,-1,69.5
N(CN)2,-1,54.5
NO2,-1,71.8
NO3,-1,71.42
NH2SO3(sulfamate),-1,48.6
OCN(cyanate),-1,64.6
OH,-1,198
PF6,-1,56.9
PO3F,-2,63.3
PO4,-3,69
P2O7,-4,96
P3O9,-3,83.6
P3O10,-5,109
ReO4,-1,54.9
SCN(thiocyanate),-1,66.5
SeCN,-1,64.7
SeO4,-2,75.7
SO3,-2,79.9
SO4,-2,80
S2O3,-2,85
S2O4,-2,66.5
S2O6,-2,93
S2O8,-2,86
WO4,-2,69.4
Decylpyridinium,1,29.5
Diethylammonium,1,42
Dimethylammonium,1,51.5
Dipropylammonium,1,30.1
Dodecylammonium,1,23.8
Ethylammonium,1,47.2
Ethyltrimethylammonium,1,40.5
Isobutylammonium,1,38
Methylammonium,1,58.3
Piperidinium,1,37.2
Propylammonium,1,40.8
Tetrabutylammonium,1,19.5
Tetraethylammonium,1,32.6
Tetramethylammonium,1,44.9
Tetrapropylammonium,1,23.5
Triethylsulfonium,1,36.1
Trimethylammonium,1,47.2
Trimethylsulfonium,1,51.4
Tripropylammonium,1,26.1
Acetate,-1,41
Benzoate,-1,32.4
Bromoacetate,-1,39.2
Bromobenzoate,-1,30
Butanoate,-1,32.6
Chloroacetate,-1,42.2
m-Chlorobenzoate,-1,31
o-Chlorobenzoate,-1,30.5
Citrate,-3,70.2
Crotonate,-1,33.2
Cyanoacetate,-1,43.4
